Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB+Stencil+Shipping+Tax","PCB+Stencil cause idk how to without+Shipping EuroPacket which is cheapest(I have a 20$ coupon on JLCPCB which I would use to it comes out cheaper",1,14.40,"","jlcpcb"
"100PCS SOT-23 MMBT3904","MMBT3904",1,0.41,"https://www.aliexpress.com/item/1005009793088130.html","Aliexpress"
"100PCS/LOTE 0603 SMD Resistor 0R-10M 1/8W 0 1 10 100 150 220 330 ohm 1K 2.2K 10K 100K 0R 1R 10R 100R 150R 220R 330R","SMD resistor",1,0.53,"https://www.aliexpress.com/item/1005002068920572.html","Aliexpress"
"217℃ Lead-Free High Temp Solder Paste Sn96.5Ag3.0Cu0.5 Needle Tube","Solder paste to do the smd soldering",1,2.50,"https://www.aliexpress.com/item/1005011848494455.html","Aliexpress"
"G3061 PD65W Mini Hot Plate Digital Soldering Preheating Rework Station PCB SMD Board Soldering Plate Heating Table Repair Tools","Tool to do SMD at home which is cheaper for this board than PCBA",1,15.12,"https://www.aliexpress.com/item/1005006380068665.html","Aliexpress"
"20PCS Tact Push Button Switch 12V Copper 4Pin SMD Micro Switch 6X6X5 4.3 5 5.5 6 7 8 9 10 11 12 13 15MM TV Toys Home Use Button","Buttonsss (I have them already)",1,0.00,"https://www.aliexpress.com/item/1005005834458965.html","Aliexpress"
"BME280 LGA-8 MEMS Digital Gas/Pressure/Temperature and Humidity Sensor IC Chip New Original","humidity, pressure and temperature sensor (I will be buying this myself",1,0.00,"https://www.aliexpress.com/item/1005006988103578.html","Aliexpress"
"50PCS WS2812B-2020","LEDs for the NeoPixel MATRIX",1,1.27,"https://www.aliexpress.com/item/1005008784230562.html","Aliexpress"
"DC 3V 3.7V 8mm Round Thin Vibration Motor Button Coin Vibrating Motor Vibrator Phone Massage","Vibration for the board (I will be buying this myself)",1,0.00,"https://www.aliexpress.com/item/1005006821274949.html","Aliexpress"
"XIAO ESP32-C6","the brain of the thing",1,7.80,"https://botland.cz/moduly-wifi-a-bt-esp32/24783-seeed-xiao-esp32-c6-wifi-bluetooth-seeedstudio-113991254-5904422385705.html","botland"
